date	author	title	ordering	register_num	receipts	representation	signatory	ouverture	cloture	free_access	firstrun	firstrun_perfnum	reprise	reprise_perfnum	newactor	actorrole	debut	ex_attendance	ex_representation	ex_place	image_volume	image_page
1773-07-08	Baron (Michel Boyron dit)	Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).	1	72		7	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	151
1773-07-08	Dancourt (Florent Carton dit)	Été des coquettes (L')	2	72		7	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	151
1773-07-09	Regnard (Jean-François)	Démocrite amoureux	1	73		8	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	153
1773-07-09	Regnard (Jean-François)	Sérénade (La)	2	73		8	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	153
1773-07-10	Guimond de La Touche (Claude)	Iphigénie en Tauride	1	74		9	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	155
1773-07-10	Boissy (Louis de)	Sage étourdi (Le) ou L'Homme indépendant	2	74		9	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	155
1773-07-11	Baron (Michel Boyron dit)	Coquette et la fausse prude (La)	1	75		10	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	157
1773-07-11	Palaprat (Jean de)	Grondeur (Le)	2	75		10	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	157
1773-07-12	Guimond de La Touche (Claude)	Iphigénie en Tauride	1	76		11	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	159
1773-07-12	Brueys (David-Augustin de)	Avocat Patelin (L')	2	76		11	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	159
1773-07-14	Racine (Jean)	Phèdre et Hippolyte ou Phèdre	1	77		12	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	161
1773-07-14	Dancourt (Florent Carton dit)	Curieux de Compiègne (Les) ou Les Camps de Compiègne	2	77		12	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	161
1773-07-15	La Chaussée (Pierre-Claude)	Mélanide	1	78		13	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	163
1773-07-15	Dancourt (Florent Carton dit)	Tuteur amoureux (Le) ou Le Tuteur	2	78		13	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	163
1773-07-16	Boursault (Edme)	Ésope à la cour	1	79		14	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	165
1773-07-16	La Font (Joseph de)	Trois frères rivaux (Les)	2	79		14	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	165
1773-07-17	Voltaire (François-Marie Arouet dit)	Adélaïde du Guesclin	1	80		15	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	167
1773-07-17	Boissy (Louis de)	Babillard (Le)	2	80		15	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	167
1773-07-18	Brueys (David-Augustin de)	Muet (Le)	1	81		16	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	169
1773-07-18	Regnard (Jean-François)	Folies amoureuses (Les)	2	81		16	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	169
1773-07-19	Longepierre (Hilaire-Bernard de)	Médée ou Médée et Jason	1	82		17	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	171
1773-07-19	Lesage (Alain-René)	Crispin rival de son maître	2	82		17	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	171
1773-07-21	Voltaire (François-Marie Arouet dit)	Adélaïde du Guesclin	1	83		18	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	173
1773-07-21	Barthe (Nicolas-Thomas)	Fausses infidélités (Les)	2	83		18	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	173
